Last name;First name;Excluded;DHCJ;Lisiak;Schuppener
Varcin;Aimé;;;;
Varo, Varrone;Sauveur;x;;;
Veiga;Eusèbe da;;x;;
Vella;Ignace;;;;
Verbiest;Ferdinand;;x;;
Vieira, Vieyra;Antoine;x;;;
Vieyra;Ignace;;x;;
Visconte;Jean Marie;;;;
Visler;Ferdinand;;;;
Vitelleschi;Mutius;;x;;
Vitry;Edouard de;;x;;
Viva;Jacques;;;;
Voellus;Jean;;;;
Vogler;Joseph;;;;
Volpi;Joseph Roch;x;;;
Vols;Ernest;;;;
Vorster;Antoine;;;;
Vorster;Guillaume;;;;
Vota, Votta;Charles Maurice;;;;
Wagemann;Louis;;;;
Wahner;Zacharie;;;;
Waibl;André;;;;
Walcher;Joseph;;x;;
Waldner;François-Xavier;;;;
Weilhamer;Guillaume;;;;
Weinhart zu Tierburg und Vollantsegg;Ignace;;;;
Weis;Georges;;;;
Weiss;François;;x;;
Weitenauer;Ignace;;;;
Wenck;Gaspar;;;;
Wendlingen;Jean;;x;;
Wex;Jacques;;;;
Wezinger;Léopold;;;;
Widmann;Joseph;;;;
Wiesner;George François;;;;
Wietrowski;Maximilien;;;;
Wiltheim;Jean Guillaume de;;;;
Wolckenstain;Guillaume;;;;
Worel;Charles;;;;
Wydra;Stanlislas;;x;;
Wyrwicz;Charles;;;;
Wysing;Nicolas;;x;;
Ximenes;Lénoard;;x;;
Zacagnini;Antoine;;x;;
Zahn;?;x;;;
Zallinger zum Thurm;François Séraphin von;;;;
Zallinger zum Thurm;Jacques-Antoine;;x;;
Zallinger zum Thurm;Jean-Baptiste;;;;
Zanchi;Joseph;;;;
Zanner;Ignace;;;;
Zaragoza;Joseph;;x;;
Zareba;Jacques;;;;
Zauli;Joseph Marie;;;;
Zebrowski;Thomas;;x;x;
Zech;François-Xavier;;x;;
Zeno;François;;;;x
Zeplichal;Antoine;;;;
Zetl;Paul;;;;
Ziegler;Jean Reinhard;;x;;
Zimmermann;Joseph Ignace;x;;;
Zucchi;Nicolas;;x;;
Zugasti;François Ortiz;;;;
Zumkley;Gaspar;;;;
Zupi;Jean-Baptiste;;;;
Zweisig;François Joseph;;;;
