Last name;First name;Excluded;DHCJ;Lisiak;Schuppener
Clavigero;François-Xavier;;x;;
Clavius;Christophe;;x;;
Clerq;François le;;;;
Cobo;Barnabé de;x;;;
Cocconato;Jean Humbert di;x;;;
Cœrdoux;Gaston Laurent;;;;
Coll;Martin;;;;
Collas;Jean Paul Louis;;x;;
Comilh;Patrice;;;;
Confalonieri;Conrad;;;;
Conrad;Balthasar;;x;;x
Coppylius;Matthieu;;;;x
Cordier;Philippe;;;;
Correa;Thomas;;;;
Coscanus;Oswald;;;;
Costa;Ignace da;;x;;
Cotel;Guillauma;;;;
Couplet;Philippe;x;;;
Courcier;Pierre;;;;
Crauer;Charles;;;;
Crendel;Ferdinand;;;;
Creuzer;Simon;;;;
Cruickelius;Jacques;;;;
Cseffalvai;Paul;;;;
Cuenca;Victorien;;x;;
Curtz;Albert;;;;
Cuvelier;Michel;;;;
Cysat;Jean Baptiste;;x;;
Dabutz;Florian;;;;
Daiser;Jean Baptiste;;;;
Daniel;Gabriel;;;;
Daniele;Fidèle;;;;
Dannenmeyer;Jean;;;;
Danner;Albert;;;;
Darowsky;Jean Casimir;;;;
Dauxon;Hubert;;;;
Davila;Salvador;x;;;
Daxsberger;Joseph;;;;
Deckers;Jean;x;;;
Defontaine;Jacques;;;;
Demarco;Xavier;;;;
Denis;Michel;;;;
Dentrecolles;François-Xavier;x;;;
Der-Kennis;Ignace;;;;
Derienes;Jean;;;;
Desmothes;Jacques;;;;
Desnoyers;Etienne;x;;;
Deuring;Charles;;;;
Dezcallar y Dezcallar;Martin;;;;
Diaz;Emmanuel;;;;
Diesbach;Jean;;;;
Dillherr;Charles;;;;
Dobszewicz;Benoît;;x;x;
Dominis;Marc Antoine de;;x;;
Dorion;Pierre;;;;
Drattenberger;Matthieu;;;;
Drexel;Jérémie;;;;
Drunkenbrot;Jean;;;;
Dubocszki;Jean;;;;
Duchamp;Pierre François-Xavier;;;;
Duclos;Jean Antoine;;;;
Ducros;Gilbert;;;;
Dugué;Rodrigues Louis;;;;
Dumas;Jean;;x;;
Duparc;Jacques Lenoir;x;;;
Durand;Bernard;;;;
Durand;Jaques Honoré;;;;
Durranc;Jean;;;;
Dursoy;Durozoir Jean Baptiste;;;;
Duvergier;François;;;;
Echeagaray;Martin;;;;
Ederi;Pierre Joseph;;;;
Edisford;Jean;;;;
Egel;Ambroise;;;;
Eiselin;Michel;;;;
Eisert;Jean;;;;
Ellspacher;François;;;;
Eltz;Hugues;;;;
Engstler;Joseph Mathias;;;;
Erber;Bernardin;;;;
Erndlin;Joachim;;;;
Eschinardi;François;;x;;
Espinha;Joseph d’;;x;;
Esser;André;;;;
Ester;Bernard;;;;
Everhart;Lambert;;;;
Eximeno;Antoine;;x;;
Faber;Albert;;;;
Faber;Jean Guillaume;;;;
Fabri;Honoré;;x;;
Faille;Jean Charles Della;;x;;
Falck;Joseph;;x;;
Falckenberg;André;;;;
Fassari;Vincent;;;;
Faure;Jean-Baptiste;;x;;
Febvre;Ambroise le;;;;
Feder, Pheder;Georges;;;;
Feichtmayer;Nicolas de Tolentino;;;;
Felker;André;;;;
Feller;François-Xavier;;x;;
Ferrari;Grégoire;;x;;
Ferrero;Charles Hyacinthe;;;;
Ferroni;Joseph;;;;
Févre;Jacques Antoine;;x;;
Feytens;Jean;;;;
Fichet;Alexandre;;;;
Fidati;Jean Baptiste;;;;
Fijan;André Stanislas;;;;
Fischer;Antoine;;;;
Fischer;Jean;;;;
Fitterer;Joseph;;;;
Fiva;Jacques;;;;
Flaschner;Jean;;;;
Flender;Herman;;;;
Flori;Louis;x;;;
Focky;Jacques;;;;
Foeldesse;Jean;;;;
Fontaney;Jean de;;x;;
Fontenilles;Antoine;;;;
Forer;Laurent;;;;
Forest  Du Chesne;Nicolas;;;;
Fournier;George;;x;;
Francken;Godefroi;;;;
Franco;Denis;;;;
François;Jean;;x;;
Francolini;Joseph-Marie;;;;
Franz;Joseph;;x;;
Franzell;André;;;;
Fredefont;Jean Amable Guillaume;;;;
Fridvaldsky;Jean;;x;;
Frings;Henri;;;;
Froelich;Christophe;x;;;
Froelich;Erasme;;;;
Fuchs;Jean;;;;
Fuente Hurtado;Diego de la;;;;
Fulchiron;Jacques;;;;
Fuligatti;Jacques;x;;;
Furtado, Hurtado;François;;;;
Gabler;Mathias;;;;
Gargam;Memmius René;;;;
Garnier;Jean;;;;
Garzoni;Léonard;;;;
Gaso;Etienne;;;;
Gaubil;Antoine;;x;;
Gautruche;Pierre;;x;;
Geerts;Corneille;;;;
Geiger;Antoine;;;;
Geilster;François;;;;
George;Jacques;;;;
Gerbillon;Jean-François;;x;;
Gerra;Jean Dominique;;;;
Gersoldi;Joseph Adam;;;;
Ghezzi;Nicolas;;;;
Gianella;Charles François;;x;;
Giannettasio;Nicolas Parentio;;;;
Gianpriamo, Giampriamo;Nicolas;;x;;
Giattini;Jean Baptiste;;x;;
Ginnaro;Bernardin;;;;
Gioeni;Jean-Baptiste;;;;
Giovene;Joseph Marie;;;;
Giulii;Gilles Marie;;;;
Gleixner;François;;;;
Gleresse;Joseph;;;;
Gobart;Laurent;;;;
Gobat;George;x;;;
Goeul;Nicolas le;;;;
Gonzaga, Gonzague;Saint Louis de;x;;;
Gooden;Jacques;;;;
Gorgoni;Justinien;;;;
Gorski;?;;;;
Gottignies;Gilles François de;;x;;
Gottscheer, Gottseer;Martin;;x;;
Gouye;Thomas;;x;;
Grammatici;Nicaise;;;;
Grandami;Jacques;;;;
Grassi;Horace;;x;;
Grebner;Thomas;;;;
Gretser, Gretscher;Jacques;;;;
Grienberger;Christophe;;x;;
Griesenbeck;Didier;;;;
Grimaldi;François;;;;
Grodzicki;Faustin;;;x;
Grothaus;Jean;;;;
Guarini;Ignace;;;;
Guérin;Guillaume;;;;
Guessmann, Gussman, Gysmann;François;;x;;
Gulden;Joseph;;;;
Guldin;Paul;;x;;
Gundl;Joseph;;;;
Hager;Balthasar;;;;
Halden;Jean-Baptiste;;x;;
Hallerstein;Augustin;;x;;
Halloy;Pierre de;;;;
Halwax;François-Xavier;;;;
Hancke;Jean;;;;x
Handel;Ignace;;;;
Hansiz;Marc;x;;;
Haraucourt de Chamblay;César François;;;;
Hardouin;Jean;;x;;
Harnischmacher;Jean;;;;
Harouys;Nicolas d’;;;;
Hartmann;Sigismond Ferdinand;;;;x
